year,geo_name,geo,soc_name,soc,sex_name,sex,num_ppl,num_ppl_moe,avg_wage_ft,avg_wage_ft_moe
2014,"California","04000US06","Credit counselors & loan officers","132070","Male","1",16215,1114.58,93087.2,4202.23
2014,"California","04000US06","Credit counselors & loan officers","132070","Female","2",18074,1207.21,65439.4,3335.08
2014,"California","04000US06","Tax examiners & collectors, & revenue agents","132081","Male","1",2846,488.684,67993.8,5226.76
2014,"California","04000US06","Tax examiners & collectors, & revenue agents","132081","Female","2",5331,803.932,57346.0,6069.5
2014,"California","04000US06","Tax preparers","132082","Male","1",4613,523.969,77603.2,10698.4
2014,"California","04000US06","Tax preparers","132082","Female","2",6509,706.871,48754.1,5387.77
2014,"California","04000US06","Other financial specialists","132099","Male","1",3139,434.019,135286.0,16852.7
2014,"California","04000US06","Other financial specialists","132099","Female","2",4037,578.643,77360.8,9464.63
2014,"California","04000US06","Computer & information research scientists","151111","Male","1",1753,346.932,138859.0,17701.9
2014,"California","04000US06","Computer & information research scientists","151111","Female","2",499,182.425,106087.0,24729.4
2014,"California","04000US06","Computer systems analysts","151121","Male","1",33678,1661.07,97989.2,3426.04
2014,"California","04000US06","Computer systems analysts","151121","Female","2",20371,1034.24,79964.9,2252.5
2014,"California","04000US06","Information security analysts","151122","Male","1",3378,503.301,101623.0,12103.9
2014,"California","04000US06","Information security analysts","151122","Female","2",1130,347.402,70329.3,9474.39
2014,"California","04000US06","Computer programmers","151131","Male","1",43757,2150.84,97293.4,2485.09
2014,"California","04000US06","Computer programmers","151131","Female","2",10442,984.505,83718.0,3976.69
2014,"California","04000US06","Web developers","151134","Male","1",14597,1090.82,74526.8,4014.59
2014,"California","04000US06","Web developers","151134","Female","2",7538,776.981,70139.4,5364.81
2014,"California","04000US06","Database administrators","151141","Male","1",8151,820.502,97547.7,5199.19
2014,"California","04000US06","Database administrators","151141","Female","2",5088,569.084,71856.2,4851.24
2014,"California","04000US06","Network & computer systems administrators","151142","Male","1",19046,1210.58,79513.9,2242.8
2014,"California","04000US06","Network & computer systems administrators","151142","Female","2",4240,478.971,67449.0,4050.22
2014,"California","04000US06","Computer network architects","151143","Male","1",10462,1133.39,109249.0,4235.17
2014,"California","04000US06","Computer network architects","151143","Female","2",696,214.315,111890.0,10290.4
2014,"California","04000US06","Computer support specialists","151150","Male","1",41361,1781.48,67727.0,1840.61
2014,"California","04000US06","Computer support specialists","151150","Female","2",12561,1102.41,66751.4,3187.16
2014,"California","04000US06","Other Computer Occupations","151199","Male","1",32801,1676.67,78255.3,2963.15
2014,"California","04000US06","Other Computer Occupations","151199","Female","2",7858,840.557,75397.7,4913.81
2014,"California","04000US06","Actuaries","152011","Male","1",571,182.428,140976.0,36704.2
2014,"California","04000US06","Actuaries","152011","Female","2",795,291.147,146803.0,59546.8
2014,"California","04000US06","Operations research analysts","152031","Male","1",7143,710.652,84974.0,4285.64
2014,"California","04000US06","Operations research analysts","152031","Female","2",10099,946.649,72103.2,2987.01
2014,"California","04000US06","Architects, except naval","171010","Male","1",15776,1015.68,101032.0,6256.5
2014,"California","04000US06","Architects, except naval","171010","Female","2",5585,631.404,77121.8,6643.35
2014,"California","04000US06","Surveyors, cartographers, & photogrammetrists","171020","Male","1",2375,393.767,78666.3,7372.78
2014,"California","04000US06","Surveyors, cartographers, & photogrammetrists","171020","Female","2",584,210.505,81646.5,13884.5
2014,"California","04000US06","Aerospace engineers","172011","Male","1",26266,1196.22,113787.0,2727.74
2014,"California","04000US06","Aerospace engineers","172011","Female","2",3521,479.272,105497.0,10589.2
2014,"California","04000US06","Chemical engineers","172041","Male","1",3666,511.44,110944.0,7194.99
2014,"California","04000US06","Chemical engineers","172041","Female","2",810,269.099,84537.2,11206.0
2014,"California","04000US06","Civil engineers","172051","Male","1",35689,1640.67,100213.0,2777.47
2014,"California","04000US06","Civil engineers","172051","Female","2",6327,729.376,86532.8,8721.69
2014,"California","04000US06","Computer hardware engineers","172061","Male","1",11122,957.275,113247.0,5777.02
2014,"California","04000US06","Computer hardware engineers","172061","Female","2",2030,374.134,102874.0,8245.93
2014,"California","04000US06","Electrical & electronics engineers","172070","Male","1",33898,1690.87,116032.0,2688.81
2014,"California","04000US06","Electrical & electronics engineers","172070","Female","2",4856,632.696,101163.0,4762.02
2014,"California","04000US06","Environmental engineers","172081","Male","1",3395,541.269,94362.0,5148.51
2014,"California","04000US06","Environmental engineers","172081","Female","2",1079,283.815,88209.0,8353.91
2014,"California","04000US06","Industrial engineers, including health & safety","172110","Male","1",14862,1003.77,90388.0,3661.53
2014,"California","04000US06","Industrial engineers, including health & safety","172110","Female","2",5560,632.418,82674.2,3862.37
2014,"California","04000US06","Marine engineers & naval architects","172121","Male","1",510,210.557,88784.0,12289.3
2014,"California","04000US06","Marine engineers & naval architects","172121","Female","2",130,93.0582,82945.4,20696.9
2014,"California","04000US06","Materials engineers","172131","Male","1",2947,425.672,94358.4,7575.97
2014,"California","04000US06","Materials engineers","172131","Female","2",383,147.792,75327.6,16607.6
2014,"California","04000US06","Mechanical engineers","172141","Male","1",17878,1175.01,92279.6,2955.56
2014,"California","04000US06","Mechanical engineers","172141","Female","2",1187,299.332,76031.5,7977.24
2014,"California","04000US06","Drafters","173010","Male","1",12107,1024.85,64754.0,3870.07
2014,"California","04000US06","Drafters","173010","Female","2",2962,530.254,53809.0,5919.27
2014,"California","04000US06","Engineering technicians, except drafters","173020","Male","1",40444,1802.78,64624.5,1908.51
2014,"California","04000US06","Engineering technicians, except drafters","173020","Female","2",11037,704.919,54466.9,2969.72
2014,"California","04000US06","Surveying & mapping technicians","173031","Male","1",4155,497.411,76032.5,4787.1
2014,"California","04000US06","Surveying & mapping technicians","173031","Female","2",501,177.821,59916.8,9967.34
2014,"California","04000US06","Agricultural & food scientists","191010","Male","1",1327,279.386,78720.0,11457.9
2014,"California","04000US06","Agricultural & food scientists","191010","Female","2",821,181.368,52006.0,13150.4
2014,"California","04000US06","Biological scientists","191020","Male","1",5614,667.936,70392.9,4347.08
2014,"California","04000US06","Biological scientists","191020","Female","2",6236,689.715,69181.6,3752.79
2014,"California","04000US06","Conservation scientists & foresters","191030","Male","1",940,274.715,59159.1,8569.49
2014,"California","04000US06","Conservation scientists & foresters","191030","Female","2",603,195.537,53092.8,7361.99
2014,"California","04000US06","Astronomers & physicists","192010","Male","1",1843,395.901,118988.0,18478.1
2014,"California","04000US06","Astronomers & physicists","192010","Female","2",324,144.343,106647.0,30991.2
2014,"California","04000US06","Atmospheric & space scientists","192021","Male","1",871,220.296,81856.8,11717.4
2014,"California","04000US06","Atmospheric & space scientists","192021","Female","2",190,96.4018,94162.4,22006.5
2014,"California","04000US06","Chemists & materials scientists","192030","Male","1",5555,555.381,84862.9,4739.75
2014,"California","04000US06","Chemists & materials scientists","192030","Female","2",4659,551.631,73087.5,4305.8
2014,"California","04000US06","Environmental scientists & geoscientists","192040","Male","1",5119,656.372,94249.5,5328.85
2014,"California","04000US06","Environmental scientists & geoscientists","192040","Female","2",2656,425.332,70101.2,5718.96
2014,"California","04000US06","Other Physical Scientists","192099","Male","1",20238,1000.11,103515.0,4384.25
2014,"California","04000US06","Other Physical Scientists","192099","Female","2",14774,1142.8,81639.7,3891.9
2014,"California","04000US06","Economists","193011","Male","1",1349,297.721,179545.0,39425.2
2014,"California","04000US06","Economists","193011","Female","2",752,272.283,110422.0,21727.8
2014,"California","04000US06","Psychologists","193030","Male","1",6320,665.244,88489.3,5727.81
2014,"California","04000US06","Psychologists","193030","Female","2",14572,1145.13,76430.6,4124.59
2014,"California","04000US06","Urban & regional planners","193051","Male","1",2218,352.054,93094.5,7330.7
2014,"California","04000US06","Urban & regional planners","193051","Female","2",1567,276.717,79550.8,6961.19
2014,"California","04000US06","Agricultural & food science technicians","194011","Male","1",2756,458.001,48713.6,4547.6
2014,"California","04000US06","Agricultural & food science technicians","194011","Female","2",1352,324.994,53163.3,16808.8
2014,"California","04000US06","Biological technicians","194021","Male","1",2481,552.378,72502.2,16138.9
2014,"California","04000US06","Biological technicians","194021","Female","2",1747,294.249,53212.3,5425.62
2014,"California","04000US06","Counselors","211010","Male","1",22437,1330.22,51119.4,1974.36
2014,"California","04000US06","Counselors","211010","Female","2",49399,2185.58,51545.8,1378.3
2014,"California","04000US06","Social workers","211020","Male","1",18132,1176.69,55783.2,2270.7
2014,"California","04000US06","Social workers","211020","Female","2",65992,2263.81,53072.0,1034.88
2014,"California","04000US06","Probation officers & correctional treatment specialists","211092","Male","1",5359,718.717,71372.4,2823.54
2014,"California","04000US06","Probation officers & correctional treatment specialists","211092","Female","2",4987,669.43,68130.5,7533.56
2014,"California","04000US06","Social & human service assistants","211093","Male","1",3851,584.828,46259.9,5660.68
2014,"California","04000US06","Social & human service assistants","211093","Female","2",11986,1052.5,42067.8,2129.88
2014,"California","04000US06","Clergy","212011","Male","1",30848,1477.91,51828.9,1404.34
2014,"California","04000US06","Clergy","212011","Female","2",6601,692.035,43844.6,3263.16
2014,"California","04000US06","Directors, religious activities & education","212021","Male","1",2496,466.155,55322.7,9659.83
2014,"California","04000US06","Directors, religious activities & education","212021","Female","2",3357,491.06,44037.9,3959.57
2014,"California","04000US06","Religious workers, all other","212099","Male","1",4164,596.781,45825.3,6146.53
2014,"California","04000US06","Religious workers, all other","212099","Female","2",5511,690.023,40295.6,2967.63
2014,"California","04000US06","Judicial law clerks","231012","Male","1",878,250.363,104586.0,29887.9
2014,"California","04000US06","Judicial law clerks","231012","Female","2",1169,269.457,52395.3,8132.63
2014,"California","04000US06","Paralegals & legal assistants","232011","Male","1",10946,1099.66,60852.7,5614.96
2014,"California","04000US06","Paralegals & legal assistants","232011","Female","2",34639,1563.26,58636.0,1719.05
2014,"California","04000US06","Miscellaneous legal support workers","232090","Male","1",5495,720.856,79041.5,10258.3
2014,"California","04000US06","Miscellaneous legal support workers","232090","Female","2",15329,1158.89,65438.6,3651.74
2014,"California","04000US06","Postsecondary teachers","251000","Male","1",76053,2674.37,91508.5,2862.88
2014,"California","04000US06","Postsecondary teachers","251000","Female","2",74558,2520.16,71933.8,2122.45
2014,"California","04000US06","Preschool & kindergarten teachers","252010","Male","1",1860,422.349,48244.8,7745.48
2014,"California","04000US06","Preschool & kindergarten teachers","252010","Female","2",54269,2086.2,33898.9,994.614
2014,"California","04000US06","Elementary & middle school teachers","252020","Male","1",77279,2540.96,65815.2,923.935
2014,"California","04000US06","Elementary & middle school teachers","252020","Female","2",251113,4554.9,60011.7,474.6
2014,"California","04000US06","Secondary school teachers","252030","Male","1",38550,1664.76,65840.4,1337.46
2014,"California","04000US06","Secondary school teachers","252030","Female","2",44035,1959.2,63346.7,971.954
2014,"California","04000US06","Special education teachers","252050","Male","1",5125,658.621,58033.3,3725.4
2014,"California","04000US06","Special education teachers","252050","Female","2",20771,1395.64,56700.7,2069.92
2014,"California","04000US06","Other teachers & instructors","253000","Male","1",45074,2137.35,56660.3,2432.5
2014,"California","04000US06","Other teachers & instructors","253000","Female","2",57256,2148.23,45171.2,1776.79
2014,"California","04000US06","Archivists, curators, & museum technicians","254010","Male","1",1726,360.803,66768.2,7525.45
2014,"California","04000US06","Archivists, curators, & museum technicians","254010","Female","2",2855,409.039,61037.4,6307.82
2014,"California","04000US06","Librarians","254021","Male","1",2794,408.631,62227.6,3957.98
2014,"California","04000US06","Librarians","254021","Female","2",12368,879.888,59754.7,2625.04
2014,"California","04000US06","Library technicians","254031","Male","1",1855,390.582,45181.4,9343.22
2014,"California","04000US06","Library technicians","254031","Female","2",4844,580.529,40519.6,4524.48
2014,"California","04000US06","Teacher assistants","259041","Male","1",16300,1131.82,31645.5,3027.31
2014,"California","04000US06","Teacher assistants","259041","Female","2",97460,2690.33,27735.4,1293.43
2014,"California","04000US06","Artists & related workers","271010","Male","1",17027,1145.43,86209.3,4326.88
2014,"California","04000US06","Artists & related workers","271010","Female","2",7530,883.014,59170.9,5833.79
2014,"California","04000US06","Designers","271020","Male","1",53346,1911.02,78756.8,3006.36
2014,"California","04000US06","Designers","271020","Female","2",46563,2180.68,56941.2,2404.3
2014,"California","04000US06","Actors","272011","Male","1",5856,759.164,82642.9,18065.0
2014,"California","04000US06","Actors","272011","Female","2",3936,548.898,84550.0,23325.5
2014,"California","04000US06","Producers & directors","272012","Male","1",19955,1293.78,110781.0,6217.02
2014,"California","04000US06","Producers & directors","272012","Female","2",13426,1046.87,91006.8,6259.8
2014,"California","04000US06","Athletes, coaches, umpires, & related workers","272020","Male","1",18799,1368.68,65906.6,6740.81
2014,"California","04000US06","Athletes, coaches, umpires, & related workers","272020","Female","2",11471,899.155,42148.0,6358.92
2014,"California","04000US06","Dancers & choreographers","272030","Male","1",630,256.498,51050.4,15105.1
2014,"California","04000US06","Dancers & choreographers","272030","Female","2",1679,408.721,47056.2,13434.2
2014,"California","04000US06","Musicians, singers, & related workers","272040","Male","1",11066,909.691,84060.7,14521.0
2014,"California","04000US06","Musicians, singers, & related workers","272040","Female","2",5638,594.681,59210.0,16733.3
2014,"California","04000US06","Entertainers & performers, sports & related workers, all other","272099","Male","1",3069,569.977,62993.9,10787.4
2014,"California","04000US06","Entertainers & performers, sports & related workers, all other","272099","Female","2",2600,476.248,59986.9,21808.8
2014,"California","04000US06","Announcers","273010","Male","1",3408,609.851,92465.5,21099.3
2014,"California","04000US06","Announcers","273010","Female","2",942,245.169,73083.8,18658.7
2014,"California","04000US06","News analysts, reporters & correspondents","273020","Male","1",4367,632.268,74360.5,8213.12
2014,"California","04000US06","News analysts, reporters & correspondents","273020","Female","2",3533,573.469,71479.8,11515.9
2014,"California","04000US06","Public relations specialists","273031","Male","1",5452,695.176,112738.0,13783.6
2014,"California","04000US06","Public relations specialists","273031","Female","2",10121,1012.31,81974.7,5929.38
2014,"California","04000US06","Editors","273041","Male","1",13035,951.071,72086.5,3593.42
2014,"California","04000US06","Editors","273041","Female","2",9480,873.779,63815.4,3347.08
2014,"California","04000US06","Technical writers","273042","Male","1",3764,481.225,85936.5,6027.23
2014,"California","04000US06","Technical writers","273042","Female","2",4448,523.796,84225.2,7071.01
2014,"California","04000US06","Writers & authors","273043","Male","1",12343,1037.19,110354.0,10232.3
2014,"California","04000US06","Writers & authors","273043","Female","2",11199,880.31,74746.9,6718.43
2014,"California","04000US06","Miscellaneous media & communication workers","273090","Male","1",5473,672.341,54367.5,6718.65
2014,"California","04000US06","Miscellaneous media & communication workers","273090","Female","2",8343,983.714,44196.8,5783.41
2014,"California","04000US06","Photographers","274021","Male","1",8113,878.285,58963.9,5567.88
2014,"California","04000US06","Photographers","274021","Female","2",5375,756.702,45915.3,8345.21
2014,"California","04000US06","Television, video, & motion picture camera operators & editors","274030","Male","1",8124,826.683,93078.0,9290.42
2014,"California","04000US06","Television, video, & motion picture camera operators & editors","274030","Female","2",1126,283.566,64660.3,17632.9
2014,"California","04000US06","Chiropractors","291011","Male","1",2857,462.132,96901.0,19274.5
